name,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication,detection_type,mass_detection_type,radius_detection_type,alternate_names,molecules,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names
CoRoT-3 b,Confirmed,21.77,1,1,,,,1.01,0.07,0.07,4.2567994,5.00E-06,5.00E-06,0.057,0.003,0.003,0,,,85.9,0.8,0.8,8.40E-05,2008,7/8/13,,,,,,,,,,2454283.138,0.0003,0.0003,,,,,,,,,,,,,,,,0,,,,,0,,,,Published in a refereed paper,Primary Transit,,,,,CoRoT-3,292.0541667,0.1219444,13.3,,,,,680,160,160,0.14,0.04,0.04,1.41,0.08,0.08,1.44,0.08,0.08,F3V,2,0.4,0.4,6558,44,44,,,
CoRoT-30 b,Confirmed,2.84,0.22,0.22,,,,1.02,0.08,0.08,9.06005,0.00024,0.00024,0.084,0.001,0.001,0.007,0.007,0.031,90,0.56,0.56,,2017,12/8/17,178.1,100,100,,,,,,,2455665.515,0.0012,0.0012,,,,,,,,,,,,,283,20,20,0,,,,,0,,,,Published in a refereed paper,Primary Transit,Radial Velocity,,,,CoRoT-30,277.6,6.835833352,15.65,,,,,960,40,68,0.02,0.1,0.1,0.98,0.05,0.03,0.91,0.03,0.09,G3V,3,2.4,3.7,5660,90,107,,,
CoRoT-31 b,Confirmed,0.84,0.34,0.34,,,,1.46,0.3,0.3,4.62941,0.00075,0.00075,0.0586,0.0034,0.0034,0.02,0.02,0.16,83.2,2.3,2.3,,2017,12/8/17,303.6,108,108,,,,,,,2455843.945,0.0044,0.0044,,,,,,,0.87,0.27,0.27,,,,88,35,35,0,,,,,0,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,CoRoT-31,94.82083334,-4.422222235,15.7,,,,,2190,710,710,0,0.1,0.1,1.25,0.22,0.22,2.15,0.6,0.56,G2IV,4.7,2.2,4.7,5370,126,99,,,
CoRoT-5 b,Confirmed,0.467,0.024,0.047,,,,1.33,0.047,0.047,4.0378962,1.90E-06,1.90E-06,0.04947,0.00029,0.00029,0.09,0.04,0.04,85.83,1.38,1.38,0.000124,2008,5/22/14,231.7,48,48,,,,,,,2454400.199,0.0002,0.0002,,,,,,,,,,,,,,,,0,,,,,0,,,,Published in a refereed paper,Primary Transit,,,,,CoRoT-5,101.2791667,0.8152778,14,,,,,400,0,0,-0.25,0.06,0.06,1,0.02,0.02,1.186,0.04,0.04,F9V,6.9,1.4,1.4,6100,65,65,,,
CoRoT-7 b,Confirmed,0.0149,0.003,0.003,,,,0.136,,,0.853585,2.40E-05,2.40E-05,0.0172,0.00029,0.00029,0.12,0.07,0.07,80.1,0.3,0.3,0.000115,2009,6/11/17,,,,,,,,,,2454398.077,0.0015,0.0015,,,,,,,,,,,,,,,,0,,,,,0,,,,Published in a refereed paper,Primary Transit,,,,,CoRoT-7,100.9541667,-1.0627778,11.7,,,,,150,20,20,0.03,0.07,0.07,0.93,0.03,0.03,0.87,0.04,0.04,K0V,1.5,0.3,0.3,5313,73,73,,,
CoRoT-7 c,Confirmed,0.04266,0.0034,0.0034,0.0264,0.0028,0.0028,0,,,3.698,0.003,0.003,0.046,,,0.12,0.06,0.06,,,,0.000307,2009,6/11/17,,,,2454445,0.7,0.7,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,Published in a refereed paper,Radial Velocity,,,,,CoRoT-7,100.9541667,-1.0627778,11.7,,,,,150,20,20,0.03,0.07,0.07,0.93,0.03,0.03,0.87,0.04,0.04,K0V,1.5,0.3,0.3,5313,73,73,,,
CoRoT-7 d,Unconfirmed,0.052,0.001,0.001,,,,0,,,9.021,0.019,0.019,0.08,,,0,,,,,,0.000533,2010,7/8/14,,,,2454446.16,0.09,0.09,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,Published in a refereed paper,Other,,,,,CoRoT-7,100.9541667,-1.0627778,11.7,,,,,150,20,20,0.03,0.07,0.07,0.93,0.03,0.03,0.87,0.04,0.04,K0V,1.5,0.3,0.3,5313,73,73,,,
CoRoT-8 b,Confirmed,0.215838656,0.03398043,0.03398043,,,,0.569186492,0.01962712,0.01962712,6.21229,3.00E-05,3.00E-05,0.063,0.001,0.001,0,,,88.4,0.1,0.1,0.000166,2010,8/16/14,,,,,,,,,,2454238.974,0.0004,0.0004,,,,,,,,,,,,,,,,0,,,,,0,,,,Published in a refereed paper,Primary Transit,,,,,CoRoT-8,291.5875,1.4266667,14.8,,,,,380,100,100,0.3,0.1,0.1,0.88,0.04,0.04,0.77,0.02,0.02,K1V,3,inf,nan,5080,80,80,,,
CoRoT-9 b,Confirmed,0.84,0.07,0.07,,,,0.94,0.04,0.04,95.273804,0.0014,0.0014,0.407,0.005,0.005,0.133,0.037,0.042,89.9,nan,inf,0.000885,2010,7/8/17,37,37,37,,,,,,,2454603.345,0.0001,0.0001,,,,,,,,,,,,,,,,0,,,,,0,,,,Published in a refereed paper,Primary Transit,,,,,CoRoT-9,280.7875,6.2041667,13.7,,,,,460,,,-0.01,0.006,0.006,0.99,0.04,0.04,0.94,0.04,0.04,G3V,4,3,3,5625,80,80,,,
EPIC 211418729 b,Confirmed,1.85,0.23,0.22,,,,0.942,0.032,0.02,11.39109,0.00018,0.00017,0.09309,0.00066,0.00059,0,,,89.53,0.3,0.25,,2017,8/27/17,,,,,,,,,,2457174.497,0.00033,0.00033,,,,,,,0.2,0.1,0.12,,,,189,21,22,0,,,,,0,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,EPIC 211418729,127.8829625,11.92226391,,,,,12.3,481,20,15,0.41,0.037,0.035,0.832,0.021,0.018,0.828,0.026,0.022,,9.9,2.3,3.2,5027,62,57,,,
EPIC 211442297 b,Confirmed,0.84,0.18,0.2,,,,1.115,0.057,0.061,20.273034,3.60E-05,3.70E-05,0.1367,0.0012,0.001,0.137,0.072,0.074,88.82,0.15,0.15,,2017,8/27/17,104,41,52,,,,,,,2457157.157,0.00025,0.00025,,,,,,,0.702,0.047,0.053,,,,77,17,16,0,,,,,0,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,EPIC 211442297,126.5534458,12.28193613,,,,,11.72,417,26,25,-0.22,0.035,0.036,0.831,0.023,0.019,0.881,0.049,0.05,,10.7,1.7,4.2,5560,56,58,,,
EPIC 219388192 b,Confirmed,36.5,0.09,0.09,,,,0.937,0.042,0.042,5.292569,2.60E-05,2.60E-05,0.0593,0.0029,0.0029,0.1929,0.0019,0.0019,90,0.7,0,,2016,10/28/16,345.9,1,1,,,,,,,2457346.329,0.00011,0.00011,,,,,,,0,0,15,,,,4267,12,12,1164,,,,,0,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,EPIC 219388192,289.3916667,-16.87166669,12.5,,,,,300,24,24,0.03,0.08,0.08,0.99,0.05,0.05,1.01,0.04,0.04,G,3.9,1.9,1.9,5850,85,85,,,2MASS J19173402-1652177
EPIC 220504338,Confirmed,1.28,0.12,0.12,,,,0.91,0.07,0.1,5.817712,4.00E-05,4.00E-05,0.0575,0.0057,0.0074,0,,,86.44,0.042,0.54,,2016,11/24/16,,,,,,,,,,2457392.886,0.00032,0.00032,,,,,,,,,,,,,143.56,12.9,12.3,1000,,,,,0,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,EPIC 220504338,19.45000002,6.702222238,13.68,,,,,553.4,43,59,0.18,0.062,0.062,1.007,0.039,0.049,1.047,0.08,0.11,G,5.9,3.4,2.7,5627,88,88,,,
EPIC 228735255 b,Confirmed,1.019,0.07,0.07,,,,1.095,0.018,0.018,6.5693,2.00E-05,1.70E-05,0.0591,0.0034,0.0034,0.12,0.046,0.056,88.51,0.53,0.69,,2017,6/25/17,98.88,4.16,3.85,,,,,,,2457588.284,0.00014,0.00014,,,,,,,0.33,0.14,0.14,,,,0.1112,0.0073,0.0076,1114,,,,,0,,,,Published in a refereed paper,Primary Transit,,,,,EPIC 228735255,188.1373333,-9.607638907,12.6,,,,,340.24,11.58,11.58,0.12,0.045,0.045,1.005,0.02,0.021,0.987,0.011,0.011,G5,4.22,0.95,0.95,5654,55,55,,,2MASS J12323296-0936274
Fomalhaut b,Confirmed,3,3,0,,,,0,,,320000,,,115,,,0.11,0,0,,,,14.92731,2008,5/22/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,Published in a refereed paper,Imaging,,,,,Fomalhaut,344.4125,-29.6222222,1.16,,,,,7.704,0.028,0.028,,,,1.92,0.02,0.02,1.842,0.019,0.019,A3 V,0.44,0.04,0.04,8590,73,73,Imaging,,HD 216956
GJ 1132 b,Confirmed,0.0051,0.0017,0.0017,0.0051,0.0017,0.0017,0.103,0.0098,0.0098,1.62893,3.10E-05,3.10E-05,0.0154,0.0015,0.0015,0,,,,,,,2015,7/15/16,,,,,,,,,,2457184.558,0.00032,0.00032,,,,,,,0.38,0.14,0.14,,,,2.76,0.92,0.92,580,,,,,0,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,CO2| H2| N2| O2,GJ 1132,153.7166667,-47.15666668,13.5,,,,,12.04,0.24,0.24,-0.12,0.15,0.15,0.181,0.019,0.019,0.207,0.016,0.016,M3.5,5,0,10,3270,140,140,,,
GJ 1214 b,Confirmed,0.020325331,0.003114873,0.003114873,,,,0.23820187,1.070570204,1.070570204,1.58040482,1.80E-07,1.80E-07,0.01411,0.00032,0.00032,0.27,0.27,0,88.17,0.54,0.54,0.001077,2009,5/21/14,,,,,,,,,,2455391.654,2.80E-05,2.80E-05,,,,,,,,,,,,,,,,0,,,,,0,,,,Published in a refereed paper,Primary Transit,,,,,GJ 1214,258.8291667,4.9638889,14.71,,,,,13,,,0.39,0.15,0.15,0.15,0.011,0.011,0.216,0.012,0.012,M,6,3,3,3026,150,150,,,
GJ 3021 b,Confirmed,3.37,0.09,0.09,3.37,0.09,0.09,0,,,133.71,0.2,0.2,0.49,,,0.511,0.017,0.017,,,,0.027809,2000,7/29/16,290.7,3,3,2451545.86,0.64,0.64,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,Published in a refereed paper,Radial Velocity,,,"SAO 258219 b| HD 1237 b 	| HIP 1292 b| TYC 9354-00780-1 b| 2MASS J00161266-7951042 b",,GJ 3021,4.05,-79.8511111,6.59,,,,,17.62,0.17,0.17,0.1,0.08,0.08,0.9,,,0.9,,,G6 V,8.77,,,5540,75,75,,,
GJ 436 b,Confirmed,0.07,0.0052,0.0052,0.07,0.0052,0.0052,0.38,,,2.64394,9.85E-05,9.85E-05,0.02887,0.00095,0.00095,0.1912,0.0571,0.0449,85.8,0.25,0.25,0.00283,2004,12/19/17,354.4,15.3,15.3,2452992.1,,,,,,2454221.616,0.00012,0.00012,,,,72,24,33,,,,,,,18.07,1.03,1.03,0,,,,,0,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Theoretical,,CO2| CH4| H| H2O| CO,GJ 436,175.5458333,26.7063889,10.68,,,,,10.2,,,-0.32,0.12,0.12,0.452,0.012,0.012,0.464,0.011,0.011,M2.5,6,5,5,3684,55,55,,,
GJ 581 b,Confirmed,0.05,,,0.05,,,0,,,5.36865,9.00E-05,9.00E-05,0.041,,,0.031,0.014,0.014,,,,0.006602,2005,2/23/16,251,26,26,2454753.95,0.39,0.39,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,Submitted to a professional journal,Radial Velocity,,,,,GJ 581,229.8583333,-7.7222222,10.55,,,,,6.21,0.1,0.1,-0.135,,,0.31,0.02,0.02,0.3,0.01,0.01,M2.5V,8,1,1,3498,56,56,Imaging,,GJ 581
GJ 581 c,Confirmed,0.017,,,0.017,,,0,,,12.9182,0.0022,0.0022,0.073,,,0.07,0.06,0.06,,,,0.011755,2007,2/23/16,235,44,44,2454763,1.6,1.6,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,Published in a refereed paper,Radial Velocity,,,,,GJ 581,229.8583333,-7.7222222,10.55,,,,,6.21,0.1,0.1,-0.135,,,0.31,0.02,0.02,0.3,0.01,0.01,M2.5V,8,1,1,3498,56,56,Imaging,,GJ 581
GJ 581 d,Unconfirmed,0.019,,,,,,0,,,66.64,0.08,0.08,0.22,,,0.205,0.08,0.08,,,,0.035427,2007,2/23/16,2,23,23,245141.6407,4.19,4.19,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,Published in a refereed paper,Other,,,,,GJ 581,229.8583333,-7.7222222,10.55,,,,,6.21,0.1,0.1,-0.135,,,0.31,0.02,0.02,0.3,0.01,0.01,M2.5V,8,1,1,3498,56,56,Imaging,,GJ 581
GJ 581 e,Confirmed,0.0061,,,0.0061,,,0,,,3.14945,0.00017,0.00017,0.028,,,0.32,0.09,0.09,,,,0.004509,2009,2/23/16,236,17,17,2454750.31,0.13,0.13,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,Submitted to a professional journal,Radial Velocity,,,,,GJ 581,229.8583333,-7.7222222,10.55,,,,,6.21,0.1,0.1,-0.135,,,0.31,0.02,0.02,0.3,0.01,0.01,M2.5V,8,1,1,3498,56,56,Imaging,,GJ 581
GJ 758 b,Confirmed,45,5,5,,,,0,,,109000,62000,198000,44.8,14.1,44.4,0.564,0.148,0.148,43.6,17.4,13.1,3.516129,2009,3/6/17,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,741,,0,,,5,Published in a refereed paper,Imaging,Spectrum,,,CH4,GJ 758,290.8916667,33.2219444,6.36,,,,,15.5,,,0.18,0.04,0.04,0.97,,,0.88,,,K0V,8.2,0.5,0.5,5425,,,,,Gliese 758| HR 7368| HD 182488
GJ 86 A b,Confirmed,4.01,,,4.01,,,0,,,15.766,0.04,0.04,0.11,,,0.046,0.004,0.004,,,,0.010092,2000,2/23/16,266,,,2451146.7,0.2,0.2,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,Published in a refereed paper,Radial Velocity,,,,,GJ 86,32.60805938,-50.82372722,6.17,,,,,10.9,,,-0.24,,,0.8,,,0.855,0.005,0.005,K1V,2.03,,,5350,,,,,
GJ 876 b,Confirmed,1.938,0.014,0.036,1.927,0.003,0.003,0,,,61.03,3.81,3.81,0.208317,2.00E-05,2.00E-05,0,0.001,0.001,84,6,6,0.044323,2000,2/23/16,116.7,1.1,1.1,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,Published in a refereed paper,Radial Velocity,,,,,GJ 876,343.3041667,-14.2536111,10.17,,,,,4.7,0.01,0.01,0.05,0.2,0.2,0.334,0.03,0.03,0.36,,,M4 V,2.5,2.4,2.4,3350,300,300,,,
GJ 876 c,Confirmed,0.856,0.029,0.032,0.637,0.002,0.002,0,,,30.23,0.19,0.19,0.12959,2.40E-05,2.40E-05,0.002,0.001,0.001,48.07,2.06,2.06,0.027572,2000,2/23/16,225.2,5,5,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,Published in a refereed paper,Radial Velocity,,,,,GJ 876,343.3041667,-14.2536111,10.17,,,,,4.7,0.01,0.01,0.05,0.2,0.2,0.334,0.03,0.03,0.36,,,M4 V,2.5,2.4,2.4,3350,300,300,,,
GJ 876 d,Confirmed,0.022,0.001,0.001,0.017,0.001,0.001,0,,,1.94,0.01,0.01,0.02080665,1.50E-07,1.50E-07,0.081,0.04,0.04,50,,,0.004427,2005,2/23/16,157.4,23,23,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,Published in a refereed paper,Radial Velocity,,,,,GJ 876,343.3041667,-14.2536111,10.17,,,,,4.7,0.01,0.01,0.05,0.2,0.2,0.334,0.03,0.03,0.36,,,M4 V,2.5,2.4,2.4,3350,300,300,,,
GJ 876 e,Confirmed,0.045,0.001,0.001,0.039,0.001,0.001,0,,,124.69,90.04,90.04,0.3343,0.0013,0.0013,0.073,0.048,0.048,59.5,,,0.071128,2010,2/23/16,360,15.8,15.8,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,Published in a refereed paper,Radial Velocity,,,,,GJ 876,343.3041667,-14.2536111,10.17,,,,,4.7,0.01,0.01,0.05,0.2,0.2,0.334,0.03,0.03,0.36,,,M4 V,2.5,2.4,2.4,3350,300,300,,,
HAT-36 b,Confirmed,2.79,0.4,0.4,,,,1.263,0.045,0.045,4.1752379,2.10E-06,2.10E-06,0.0529,0.0011,0.0011,0.294,0.294,0,87.57,0.36,0.36,,2017,6/29/17,,,,,,,2457289.411,6.90E-05,6.90E-05,,,,,,,,,,0.406,0.57,0.44,,,,324,45,45,0,,,,,0,,,,Published in a refereed paper,Primary Transit,Radial Velocity,,EPIC 215969174  b,,HATS-36,291.4785,-23.20277778,14.386,,,,,977,42,42,0.13,0.1,0.1,1.135,0.067,0.067,1.186,0.036,0.036,G0V,3.4,1.4,1.9,5970,160,160,,,EPIC 215969174| 2MASS 19255488-2312100
HAT-P-1 b,Confirmed,0.525,0.019,0.019,,,,1.319,0.019,0.019,4.46529976,5.50E-07,5.50E-07,0.05561,0.00083,0.00083,0.067,inf,nan,85.634,0.056,0.056,0.000398,2006,4/30/15,360,,,,,,,,,2453979.932,0.00024,0.00024,,,,,,,,,,,,,,,,1322,,,,,0,,,,Published in a refereed paper,Primary Transit,,,,C| O I| H2O| K,HAT-P-1,344.4458333,38.675,10.4,,,,,139,20,20,0.13,0.008,0.008,1.151,0.052,0.052,1.174,0.03,0.03,GOV,3.6,,,5980,49,49,,,
HAT-P-11 b,Confirmed,0.082434006,0.008998521,0.008998521,,,,0.421983089,1.338212754,1.338212754,4.887802443,3.00E-08,3.00E-08,0.053,0.0008,0.0008,0.265,0.0009,0.0003,89.05,0.09,0.15,0.001395,2009,11/2/16,198,0.094,0.2,,,,,,,2454605.891,0.00032,0.00032,,,,,,,0.209,0.032,0.019,,,,,,,750,,,,,0,,,,Submitted to a professional journal,Primary Transit,,,,,HAT-P-11,297.7083333,48.0808333,9.59,,,,,38,1.3,1.3,0.31,0.05,0.05,0.81,0.03,0.03,0.75,0.02,0.02,K4,6.5,4.1,4.1,4780,50,50,,,
HAT-P-12 b,Confirmed,0.210489885,0.013183148,0.013183148,,,,0.954591765,0.020519262,2.854853876,3.2130598,2.10E-06,2.10E-06,0.0384,0.0003,0.0003,0,,,,,,0.000269,2009,5/21/14,,,,,,,,,,2454419.196,0.0002,0.0002,,,,,,,,,,,,,,,,0,,,1000,,0,,,,Submitted to a professional journal,Primary Transit,,,,,HAT-P-12,209.3916667,43.4936111,12.84,,,,,142.5,3.3,3.3,-0.29,0.05,0.05,0.73,0.02,0.02,0.7,0.01,0.01,,2.5,2,2,4650,60,60,,,
HAT-P-13 b,Confirmed,0.85,0.038,0.038,,,,1.28,0.079,0.079,2.916243,3.00E-06,3.00E-06,0.0426,0.0012,0.0012,0.0142,0.0044,0.0044,83.3,0.62,0.62,0.000199,2009,1/5/17,223,38,38,,,,,,,2455176.539,0.00034,0.00034,2454779.931,0.0003,0.0003,,,,,,,,,,,,,0,,,,,0,,,,Published in a refereed paper,Primary Transit,,,,,HAT-P-13,129.8833333,47.3519444,10.62,,,,,214,12,12,0.43,0.08,0.08,1.22,0.1,0.1,1.56,0.08,0.08,G4,5,0.8,0.8,5638,90,90,,,
HAT-P-13 c,Confirmed,14.28,0.28,0.28,14.28,0.28,0.28,0,,,446.27,0.22,0.22,1.186,0.033,0.033,0.6616,0.0054,0.0054,,,,0.005542,2009,8/22/14,175.29,0.35,0.35,2454890.05,0.48,0.48,2455312.8,0.74,0.74,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,Published in a refereed paper,Radial Velocity,,,,,HAT-P-13,129.8833333,47.3519444,10.62,,,,,214,12,12,0.43,0.08,0.08,1.22,0.1,0.1,1.56,0.08,0.08,G4,5,0.8,0.8,5638,90,90,,,
HAT-P-13 d,Unconfirmed,0.016,,,,,,0,,,4.37,,,0.056,,,0,,,,,,0.000262,2011,5/25/11,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,Published in a refereed paper,Other,,,,,HAT-P-13,129.8833333,47.3519444,10.62,,,,,214,12,12,0.43,0.08,0.08,1.22,0.1,0.1,1.56,0.08,0.08,G4,5,0.8,0.8,5638,90,90,,,
HAT-P-14 b,Confirmed,2.2,0.04,0.04,,,,1.2,0.04,0.04,4.627657,5.00E-06,5.00E-06,0.0594,0.0004,0.0004,0.095,0.011,0.011,83.2,0.2,0.2,0.00029,2010,1/17/17,99,4,4,,,,,,,2455134.439,0.00027,0.00027,,,,,,,,,,,,,,,,0,,,,,0,,,,Published in a refereed paper,Primary Transit,,,WASP-27 b,,HAT-P-14,260.1166667,38.2422222,9.98,,,,,205,11,11,0.11,0.08,0.08,1.386,0.045,0.045,1.468,0.054,0.054,F,1.3,0.4,0.4,6600,90,90,,,
HAT-P-15 b,Confirmed,1.946,0.066,0.066,,,,1.072,0.043,0.043,10.863502,27,27,0.0964,0.0014,0.0014,0.19,0.019,0.019,89.1,0.2,0.2,0.000507,2010,5/31/10,262,1,1,,,,,,,2454638.56,0.00048,0.00048,,,,,,,,,,,,,,,,0,,,,,0,,,,Published in a refereed paper,Primary Transit,,,,,HAT-P-15,66.25,39.4605556,12.16,,,,,190,8,8,0.22,0.08,0.08,1.013,0.043,0.043,1.08,0.043,0.043,G5,6.8,1.6,1.6,5568,90,90,,,
HAT-P-16 b,Confirmed,4.193,0.094,0.094,,,,1.289,0.066,0.066,2.77596,3.00E-06,3.00E-06,0.0413,0.0004,0.0004,0.036,0.004,0.004,86.6,0.7,0.7,0.000176,2010,7/22/13,214,8,8,,,,,,,2455027.593,0.00031,0.00031,,,,,,,,,,,,,,,,0,,,,,0,,,,Published in a refereed paper,Primary Transit,,,,,HAT-P-16,9.575,42.4630556,10.8,,,,,235,10,10,0.17,0.08,0.08,1.218,0.039,0.039,1.237,0.054,0.054,F8,2,0.8,0.8,6158,80,80,,,
HAT-P-17 b,Confirmed,0.534,0.018,0.018,,,,1.01,,,10.338523,,,0.0882,,,0.346,,,89.2,,,0.00098,2010,5/31/13,201,,,,,,,,,2454804.246,,,,,,,,,,,,,,,,,,0,,,,,0,,,,Published in a refereed paper,Primary Transit,,,,,HAT-P-17,324.5375,30.4886111,10.54,,,,,90,3,3,0,,,0.857,0.039,0.039,0.837,,,K,7.8,,,5246,,,,,
HAT-P-17 c,Confirmed,1.4,,,1.4,,,0,,,1798,,,2.75,,,0.1,,,,,,0.030556,2010,12/10/10,155,,,2452636,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,Published in a refereed paper,Radial Velocity,,,,,HAT-P-17,324.5375,30.4886111,10.54,,,,,90,3,3,0,,,0.857,0.039,0.039,0.837,,,K,7.8,,,5246,,,,,
HAT-P-18 b,Confirmed,0.183,0.032,0.034,,,,0.947,0.044,0.044,5.508029,4.20E-06,4.20E-06,0.0559,0.0007,0.0007,0.106,0.084,0.15,88.79,0.21,0.21,0.000337,2010,11/12/15,120,56,56,,,,,,,2454715.023,0.00039,0.00039,2454717.65,0.13,0.13,132,15,15,0.324,0.057,0.057,,,,,,,841,,,,,0,,,2.734,Published in a refereed paper,Primary Transit,,,HAT-18b,,HAT-P-18,256.35,33.0125,12.76,,,,,166,9,9,0.1,8,8,0.77,0.031,0.031,0.717,0.026,0.026,K,12.4,6.4,6.4,4870,50,50,,,
HAT-P-19 b,Confirmed,0.292,0.018,0.018,,,,1.132,0.072,0.072,4.008784,7.00E-07,7.00E-07,0.0466,0.0008,0.0008,0.067,0.042,0.042,88.51,0.22,0.22,0.000217,2010,8/26/15,256,77,77,,,,,,,2455091.535,0.00015,0.00015,,,,,,,,,,,,,,,,0,,,,,0,,,,Published in a refereed paper,Primary Transit,,,,,HAT-P-19,9.5166667,34.7116667,12.9,,,,,215,15,15,0.23,0.08,0.08,0.842,0.042,0.042,0.82,0.048,0.048,K,8.8,5.2,5.2,4990,130,130,,,
HAT-P-2 b,Confirmed,8.74,0.26,0.26,,,,0.951,0.053,0.053,5.6334729,6.10E-06,6.10E-06,0.0674,0.00081,0.00081,0.5171,0.0033,0.0033,90,0.93,0.93,0.000571,2007,9/20/12,185.22,0.95,0.95,2454213.479,0.003,0.003,,,,2454387.494,0.00074,0.00074,,,,,,,,,,,,,,,,0,,,,,0,,,,Published in a refereed paper,Primary Transit,,,,,HAT-P-2,245.15,41.0480556,8.71,,,,,118,8,8,0.04,0.05,0.05,1.34,0.09,0.09,1.54,0.12,0.12,F8,2.7,0.5,0.5,6414,51,51,,,
HAT-P-20 b,Confirmed,7.246,0.187,0.187,,,,0.867,0.033,0.033,2.875317,4.00E-06,4.00E-06,0.0361,0.0005,0.0005,0.015,0.0005,0.0005,81.9,0.1,0.1,0.000516,2010,2/13/17,317,130,130,,,,,,,2456708.356,8.80E-05,8.80E-05,,,,172,6.9,6.9,,,,,,,,,,0,,,,,0,,,,Published in a refereed paper,Primary Transit,,,,,HAT-P-20,111.9166667,24.3363889,11.34,,,,,70,3,3,0.35,0.08,0.08,0.756,0.028,0.028,0.694,0.21,0.21,K7,6.7,3.8,3.8,4595,80,80,,,
HAT-P-21 b,Confirmed,4.063,0.161,0.161,,,,1.024,0.092,0.092,4.124461,7.00E-06,7.00E-06,0.0494,0.0007,0.0007,0.228,0.016,0.016,87.2,0.7,0.7,0.000194,2010,9/28/14,300,3,3,,,,,,,2454996.413,0.00069,0.00069,,,,,,,,,,,,,,,,0,,,,,0,,,,Published in a refereed paper,Primary Transit,,,,,HAT-P-21,171.275,41.0280556,11.46,,,,,254,19,19,0.01,0.08,0.08,0.947,0.042,0.042,1.105,0.083,0.083,G3,10.2,2.5,2.5,5588,80,80,,,
HAT-P-22 b,Confirmed,2.147,0.061,0.061,,,,1.08,0.058,0.058,3.21222,9.00E-06,9.00E-06,0.0414,0.0005,0.0005,0.016,0.009,0.009,73.6,3.7,3.7,0.000505,2010,8/20/15,156,66,66,,,,,,,2456706.589,0.0009,0.0009,,,,,,,,,,,,,,,,0,,,,,0,,,,Published in a refereed paper,Primary Transit,,,,,HAT-P-22,155.6833333,50.1283333,9.73,,,,,82,3,3,0.24,0.08,0.08,0.916,0.035,0.035,1.04,0.044,0.044,G5,12.4,2.6,2.6,5302,80,80,,,
