# name,mass,mass_sini,radius,orbital_period,semi_major_axis,eccentricity,inclination,angular_distance,omega,impact_parameter,temp_calculated,temp_measured,geometric_albedo,log_g,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_metallicity,star_mass,star_radius,star_sp_type,star_age,star_teff,star_detected_disc,star_magnetic_field
HD 9174 b,1.11,1.11,0,1179,2.2,0.12,,,101,,,,0,,HD 9174,22.50416667,-19.60444446,8.4,,,,,78.93,0.39,1.03,1.67,G8IV,9,5577,,
HD 92788 b,27.7,3.86,0,325.81,0.97,0.334,8,0.029555,276.4,,,,0,,HD 92788,160.7,-2.1836111,7.31,,,,,32.82,0.32,1.13,0.99,G5,3.78,5559,,
HD 92788 c,0.9,0.9,0,162,0.6,0.04,,,360,,,,0,,HD 92788,160.7,-2.1836111,7.31,,,,,32.82,0.32,1.13,0.99,G5,3.78,5559,,
HD 95089 b,1.2,1.2,0,507,1.51,0.157,,0.010863,317,,,,0,,HD 95089,164.7,1.7291667,7.92,,,,,139,0.05,1.58,4.9,K0 IV,2.5,5002,,
HD 95127 b,5.01,5.01,0,482,1.28,0.11,,,40,,,,0,,HD 95127,164.8958333,43.81444447,8.15,,,,,300,-0.18,1.2,20,K0,5.5,4218,,
HD 96063 b,0.9,0.9,0,361.1,0.99,0.28,,0.006266,90,,,,0,,HD 96063,166.1833333,-2.5133333,8.37,,,,,158,-0.3,1.02,4.5,K0,9,5148,,
HD 96167 b,0.68,0.68,0,498.9,1.3,0.71,,0.015476,285,,,,0,,HD 96167,166.3125,-10.2913889,8.09,,,,,84,0.34,1.31,1.86,G5D,3.8,5770,,
HD 98219 b,1.8,1.8,0,436.9,1.23,0.21,,0.009179,47,,,,0,,HD 98219,169.45,-23.9752778,8.21,,,,,134,-0.02,1.3,4.5,K0III/IV,4,4992,,
HD 99492 b,0.079,0.079,0,17.054,0.123,0.07,,0.006844,240.7,,,,0,,HD 99492,171.6916667,3.0061111,7.38,,,,,18,0.36,0.83,0.96,K2V,4,4740,,
HD 99706 b,1.4,1.4,0,868,2.14,0.365,,0.016589,359,,,,0,,HD 99706,172.125,43.9666667,7.81,,,,,129,0.14,1.72,5.4,K0,2.1,4932,,
HIP 57274 b,0.036,0.036,0,8.1352,0.07,0.187,,0.002701,81,,,,0,,HIP 57274,176.1708333,30.9591667,8.96,,,,,25.92,0.09,0.73,0.68,K5V,7.87,4640,,
HIP 57274 c,0.41,0.41,0,32.03,0.178,0.05,,0.006867,256.2,,,,0,,HIP 57274,176.1708333,30.9591667,8.96,,,,,25.92,0.09,0.73,0.68,K5V,7.87,4640,,
HIP 57274 d,0.527,0.527,0,431.7,1.01,0.27,,0.038966,187.2,,,,0,,HIP 57274,176.1708333,30.9591667,8.96,,,,,25.92,0.09,0.73,0.68,K5V,7.87,4640,,
HR 810 b,2.26,2.26,0,320.1,0.925,0.161,,0.053873,83,,,,0,,HR 810,40.6291667,-50.8033333,5.4,,,,,17.17,0.25,1.11,1.85,G0V pecul.,3.6,5997,,
K2-106 c,0.018,,0.22,13.3397,0.105,0.18,89.35,,178,0.31,774,,0,,EPIC 220674823,13.0797796,10.7946987,12.1,,,,,253,-0.025,0.93,0.83,G5V,5,5814,,
K2-110 b,0.0525,,0.2312,13.86375,0.1021,0.079,89.35,,90,0.34,,,0,,K2-110,207.3495417,-12.2844889,11.91,,,,,118,-0.34,0.738,0.713,K3V,8,5010,,
K2-19 b,0.187,0.187,0.691,7.9194,0.077,0.119,88.83,,179,0.233,854,,0,,K2-19,174.9603334,0.603583348,12.806,12.567,11.596,11.208,11.161,291,0.1,0.93,0.86,G9V,8,5430,,
K2-19 c,0.031,,0.434,11.90715,0.1032,0.095,89.91,,237,0.367,745,,0,,K2-19,174.9603334,0.603583348,12.806,12.567,11.596,11.208,11.161,291,0.1,0.93,0.86,G9V,8,5430,,
KELT-1 b,27.38,,1.116,1.217514,0.02472,0.01,87.6,,61,,2423,,0,,KELT-1,0.358333342,39.38361112,10.7,,,,,263,0.052,1.335,1.471,F5,1.75,6516,,
KELT-4 A b,0.884,0.878,1.706,2.9895933,0.04321,0.03,83.11,,300,0.689,1827,,0,,KELT-4 A,157.0625458,25.57319446,,,,,,211,-0.116,1.204,1.61,F,4.38,6207,,
KELT-8 b,0.874,0.867,1.86,3.24406,0.04571,0.035,82.65,,85,0.763,1675,,0,,KELT-8,283.3041667,24.12750001,10.83,,,,,236,0.27,1.211,1.67,G2V,5.4,5754,,
KOI-1299 c,2.63,2.63,0,411,1.188,0.64,,,53.2,,,,0,,Kepler-432,293.2833333,48.28583334,13,,,,,874,-0.02,1.35,4.15,K2III,3.6,5020,,
