# name,mass,mass_sini,radius,orbital_period,semi_major_axis,eccentricity,inclination,angular_distance,omega,impact_parameter,temp_calculated,temp_measured,geometric_albedo,log_g,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_metallicity,star_mass,star_radius,star_sp_type,star_age,star_teff,star_detected_disc,star_magnetic_field
BD-17 63 b,5.1,5.1,0,655.6,1.34,0.54,,0.038728,112.2,,,,0,,BD-17 63,7.1416667,-16.2263889,9.62,,,,,34.6,-0.03,0.74,0.69,K5V,4.3,4714,,
CoRoT-10 b,2.75,,0.97,13.2406,0.1055,0.53,88.55,0.000306,218.9,,,,0,,CoRoT-10,291.0625,0.7461111,15.22,,,,,345,0.26,0.89,0.79,K1V,3,5075,,
CoRoT-12 b,0.917,,1.44,2.828042,0.04016,0.07,85.48,3.50E-05,105,,,,0,,CoRoT-12,100.7666667,-1.2963889,15.52,,,,,1150,0.16,1.078,1.116,G2V,6.3,5675,,
CoRoT-16 b,0.535,,1.17,5.35227,0.0618,0.33,85.01,7.40E-05,168.41,,,,0,,CoRoT-16,278.525,-6.0025,15.64,,,,,840,0.19,1.098,1.19,G5V,6.73,5650,,
CoRoT-19 b,1.11,,1.29,3.89713,0.0518,0.047,87.61,6.50E-05,86,,,,0,,CoRoT-19,97.03333334,0.170555562,14.78,,,,,800,-0.02,1.21,1.65,F9V,5,6090,,
CoRoT-20 b,4.24,,0.84,9.24285,0.0902,0.562,88.21,7.30E-05,56.3,,,,0,,CoRoT-20,97.730434,0.22692,14.66,,,,,1230,0.14,1.14,0.92,G2V,0.1,5880,,
CoRoT-22 b,0.0383853,,0.435365216,9.75598,0.092,0.077,89.749,0.000149,210,,885,,0,,CoRoT-22,280.6666667,6.225000011,11.93,,,,,592,0.17,1.099,1.136,G0IV,3.3,5939,,
CoRoT-23 b,2.8,,1.08,3.6314,0.0477,0.16,85.7,8.00E-05,51.8,,,,0,,CoRoT-23,279.782615,4.3578,15.63,,,,,600,0.05,1.14,1.61,G0V,7.2,5900,,
CoRoT-28 b,0.484,0.484,0.955,5.20851,0.059,0.047,,,126,0.24,,,0,,CoRoT-28,278.6875,5.5739,13.49,,,,,560,0.15,1.01,1.78,G8/9IV,12,5150,,
CoRoT-29 b,0.85,0.85,0.9,2.85057,0.039,0.082,87.3,,87,0.43,,,0,,CoRoT-29,278.9042,6.4797,15.35,,,,,765,0.2,0.976,0.9,KOV,4.5,5260,,
CoRoT-30 b,2.84,,1.02,9.06005,0.084,0.007,90,,178.1,,,,0,,CoRoT-30,277.6,6.835833352,15.65,,,,,960,0.02,0.98,0.91,G3V,3,5660,,
CoRoT-31 b,0.84,,1.46,4.62941,0.0586,0.02,83.2,,303.6,0.87,,,0,,CoRoT-31,94.82083334,-4.422222235,15.7,,,,,2190,0,1.25,2.15,G2IV,4.7,5370,,
CoRoT-5 b,0.467,,1.33,4.0378962,0.04947,0.09,85.83,0.000124,231.7,,,,0,,CoRoT-5,101.2791667,0.8152778,14,,,,,400,-0.25,1,1.186,F9V,6.9,6100,,
CoRoT-9 b,0.84,,0.94,95.273804,0.407,0.133,89.9,0.000885,37,,,,0,,CoRoT-9,280.7875,6.2041667,13.7,,,,,460,-0.01,0.99,0.94,G3V,4,5625,,
EPIC 211442297 b,0.84,,1.115,20.273034,0.1367,0.137,88.82,,104,0.702,,,0,,EPIC 211442297,126.5534458,12.28193613,,,,,11.72,417,-0.22,0.831,0.881,,10.7,5560,,
EPIC 219388192 b,36.5,,0.937,5.292569,0.0593,0.1929,90,,345.9,0,1164,,0,,EPIC 219388192,289.3916667,-16.87166669,12.5,,,,,300,0.03,0.99,1.01,G,3.9,5850,,
EPIC 228735255 b,1.019,,1.095,6.5693,0.0591,0.12,88.51,,98.88,0.33,1114,,0,,EPIC 228735255,188.1373333,-9.607638907,12.6,,,,,340.24,0.12,1.005,0.987,G5,4.22,5654,,
GJ 3021 b,3.37,3.37,0,133.71,0.49,0.511,,0.027809,290.7,,,,0,,GJ 3021,4.05,-79.8511111,6.59,,,,,17.62,0.1,0.9,0.9,G6 V,8.77,5540,,
GJ 436 b,0.07,0.07,0.38,2.64394,0.02887,0.1912,85.8,0.00283,354.4,,,,0,,GJ 436,175.5458333,26.7063889,10.68,,,,,10.2,-0.32,0.452,0.464,M2.5,6,3684,,
GJ 581 b,0.05,0.05,0,5.36865,0.041,0.031,,0.006602,251,,,,0,,GJ 581,229.8583333,-7.7222222,10.55,,,,,6.21,-0.135,0.31,0.3,M2.5V,8,3498,Imaging,
